coin,market_slug,source_files,side,status,trigger_ts,entry_ts,exit_ts,elapsed_seconds,remaining_seconds,old_price,trigger_price,entry_mid_price,entry_fill_price,entry_limit_price,exit_mid_price,exit_fill_price,exit_limit_price,shares,gross_pnl,hold_seconds,exit_reason
BTC,btc-updown-15m-1775032200,run1_btc_hedge_orderbook.csv,down,resolved,1775033062.374,1775033062.374,1775033065.221,863.0,37.0,0.555,0.205,0.205,0.21,0.22499999999999998,0.15,0.14,0.13,24.390243902439025,-1.7073170731707312,2.8469998836517334,stop_loss
BTC,btc-updown-15m-1775033100,run1_btc_hedge_orderbook.csv,down,resolved,1775033607.954,1775033607.954,1775033608.326,508.0,392.0,0.815,0.51,0.51,0.53,0.53,0.45,0.44,0.43,9.803921568627452,-0.8823529411764709,0.37199997901916504,stop_loss
BTC,btc-updown-15m-1775033100,run1_btc_hedge_orderbook.csv,down,resolved,1775033608.327,1775033608.327,1775033626.011,509.0,391.0,0.815,0.45,0.45,0.46,0.47000000000000003,0.4,0.39,0.38,11.11111111111111,-0.7777777777777778,17.68400001525879,stop_loss
BTC,btc-updown-15m-1775033100,run1_btc_hedge_orderbook.csv,up,resolved,1775033656.84,1775033656.84,1775033657.531,557.0,343.0,0.475,0.175,0.175,0.18,0.19499999999999998,0.115,0.1,0.095,28.571428571428573,-2.2857142857142856,0.6909999847412109,stop_loss
BTC,btc-updown-15m-1775033100,run1_btc_hedge_orderbook.csv,up,resolved,1775033657.532,1775033657.532,1775033676.831,558.0,342.0,0.455,0.115,0.115,0.13,0.135,0.22,0.21,0.2,43.47826086956522,3.478260869565217,19.299000024795532,take_profit
BTC,btc-updown-15m-1775034000,run1_btc_hedge_orderbook.csv,up,resolved,1775034481.163,1775034481.163,1775034506.988,482.0,418.0,0.425,0.125,0.125,0.13,0.145,0.075,0.07,0.05499999999999999,40.0,-2.4,25.824999809265137,stop_loss
BTC,btc-updown-15m-1775046600,run1_btc_hedge_orderbook.csv,down,resolved,1775047499.212,1775047499.212,1775047499.265,900.0,0.0,0.999,0.11,0.11,0.12,0.13,0.015,0.01,0.01,45.45454545454545,-5.0,0.05300021171569824,stop_loss
BTC,btc-updown-15m-1775046600,run1_btc_hedge_orderbook.csv,down,unresolved,1775047499.367,1775047499.367,,900.0,0.0,0.999,0.015,0.015,0.02,0.035,,,,333.33333333333337,,,market_end_unresolved
BTC,btc-updown-15m-1775051100,run1_btc_hedge_orderbook.csv,up,resolved,1775051969.176,1775051969.176,1775051969.367,870.0,30.0,0.875,0.555,0.555,0.56,0.5750000000000001,0.505,0.5,0.485,9.009009009009008,-0.5405405405405409,0.19099998474121094,stop_loss
BTC,btc-updown-15m-1775051100,run1_btc_hedge_orderbook.csv,up,resolved,1775051969.368,1775051969.368,1775051969.88,870.0,30.0,0.875,0.505,0.505,0.51,0.525,0.395,0.38,0.375,9.900990099009901,-1.2871287128712872,0.5120000839233398,stop_loss
